"passmisses";"goals";"outsides";"goalkicks";"passmisses_offside";"fast_attacks";"all_attacks";"leftwing_1stquarter_possession";"leftwing_2ndquarter_possession";"middlewing_1stquarter_possession";"middlewing_2ndquarter_possession";"middlewing_4thquarter_possession";"rightwing_3rdquarter_possession";"passchains";"k"
15;5;4;0;3;7;14;17;64;21;94;117;509;19;4
27;0;6;0;1;4;11;36;149;18;155;65;423;23;4
23;2;1;0;2;6;13;23;188;27;175;87;385;21;4
28;1;4;0;5;2;10;27;51;63;75;174;263;10;4
19;3;7;0;3;8;14;9;146;1;164;65;293;20;4
26;3;7;0;1;8;18;0;96;40;151;83;290;15;4
26;1;5;0;3;8;16;19;81;8;145;87;321;19;4
28;1;5;0;2;7;13;12;145;51;209;32;237;24;4
26;1;6;0;1;9;14;0;116;3;93;92;291;22;4
23;1;7;1;3;6;15;26;201;43;119;29;326;20;4
18;4;5;1;2;5;9;14;99;11;129;94;264;15;4
24;4;7;0;4;5;9;31;182;5;99;67;268;20;4
18;3;2;0;4;10;14;6;80;15;146;116;411;17;4
20;1;6;0;5;11;17;12;73;10;105;67;450;19;4
15;3;8;1;3;7;10;52;149;15;91;133;206;20;7
20;3;6;0;1;8;16;74;109;65;147;51;160;17;7
20;2;7;1;5;9;12;49;169;18;85;91;166;16;7
20;1;7;0;3;8;13;37;47;6;115;68;172;14;7
19;3;6;0;0;6;10;28;70;16;114;85;149;16;6
18;5;10;0;2;5;8;4;65;0;42;83;263;13;6
19;5;6;0;5;9;13;31;70;0;56;170;161;13;6
16;5;6;0;2;3;6;5;115;0;89;119;257;16;6
9;2;7;0;1;7;12;33;16;20;136;101;329;16;6
11;8;0;0;2;13;18;14;57;16;27;279;248;9;6
17;5;2;0;0;11;16;0;69;4;85;137;307;19;6
16;3;9;0;3;11;14;0;42;3;126;87;322;14;6
15;6;6;0;4;8;14;10;44;12;86;116;295;17;6
9;5;8;1;1;7;12;24;70;19;46;117;239;14;6
15;4;8;0;2;4;11;20;86;29;124;70;210;14;6
17;3;3;0;1;5;14;13;48;52;158;105;224;14;6
16;4;10;0;2;8;13;4;91;0;74;81;169;16;6
15;3;2;0;1;10;18;9;64;5;96;130;326;15;6
15;6;2;0;0;11;19;24;131;27;117;112;190;16;6
21;4;6;0;2;6;13;15;105;3;119;126;199;14;6
18;4;7;0;1;8;13;0;79;3;64;60;181;16;6
16;2;8;0;2;10;18;16;87;3;106;93;135;17;6
20;2;7;1;2;6;11;0;115;9;90;179;158;13;6
15;3;7;0;0;3;9;21;89;24;122;108;239;12;6
14;4;6;0;4;10;13;3;32;23;42;125;335;16;6
15;3;9;0;1;5;9;27;47;25;58;67;285;16;6
14;3;4;0;3;9;13;24;94;23;65;187;327;18;6
20;3;9;0;0;6;10;2;62;12;122;173;236;14;6
17;3;6;0;1;9;18;13;103;16;117;77;187;12;6
15;4;8;0;1;10;15;5;72;22;166;119;227;16;6
18;4;2;0;2;7;12;2;64;31;92;128;210;21;6
17;4;2;0;3;10;13;18;132;9;45;188;109;14;6
14;5;6;0;1;8;13;13;80;25;130;189;147;18;6
17;2;9;1;3;5;10;22;44;2;43;74;292;11;6
16;3;5;1;3;6;10;0;46;23;136;101;282;18;6
19;4;6;1;2;10;17;1;74;0;62;160;303;18;6
16;3;3;0;2;7;14;9;135;21;94;144;136;15;6
11;3;9;0;1;7;13;23;144;44;108;111;173;16;6
15;1;2;0;0;10;17;0;94;13;187;161;247;17;6
20;4;2;0;3;8;14;16;82;7;77;192;280;12;6
12;9;3;0;1;12;17;11;58;12;84;227;137;11;6
14;3;3;0;5;8;14;0;80;0;66;91;171;12;6
20;4;6;1;3;7;14;1;11;28;99;112;242;11;6
17;3;3;0;5;11;15;3;49;20;75;180;241;15;6
18;4;3;0;1;8;12;0;62;4;68;145;250;16;6
12;4;4;0;5;7;17;13;42;30;85;147;313;10;6
15;1;4;0;2;5;11;5;45;8;77;117;284;13;6
17;3;3;0;0;8;14;8;61;39;99;98;237;11;6
18;3;7;0;3;4;8;0;56;39;87;111;156;10;6
16;1;8;0;0;7;9;0;65;11;136;69;144;13;6
17;2;6;0;0;6;9;24;101;9;107;141;181;10;6
14;3;6;0;0;8;15;24;70;33;138;127;232;13;6
21;2;6;0;1;6;12;2;173;8;107;113;87;17;6
19;6;7;0;2;11;13;4;68;4;48;163;60;7;6
15;4;5;0;2;12;19;0;51;0;89;137;263;22;6
19;4;5;0;1;5;6;6;43;4;97;56;242;14;6
26;0;4;0;2;2;13;66;142;57;243;29;271;20;9
26;1;4;0;0;5;15;42;132;29;200;49;215;18;9
