;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
2006
FCPortugal2006;7;3;0;0;10;0.08588957;0.2264151;0.2901961;0.44329895;0.1984127;0.15300547;0.1104199;0.36752136;0.11650486;0.33974358;0.42424244;0.61437912;0;0;0;0;0;0;2;0;0;0;0;2;3;60;38;0.0131332082552;0.191369606004;0.138836772983;0.0806754221388;0.046904315197;0.105065666041;0.0666041275797;0.0403377110694;0.0112570356473;0.0994371482176;0.118198874296;0.0881801125704;7;7;0


Group E
CZU;6;12;0;0;18;0.60000004;0.5770751;0.6328358;0.693811;0.14666666;0.30650684;0.31394073;0.38944366;0.23134329;0.35532997;0.62798637;0.8544304;7;7;0;0;0;7;20;1;0;0;1;0;12;90;52;0.0391440501044;0.0762004175365;0.110647181628;0.111169102296;0.00574112734864;0.0934237995825;0.149269311065;0.14248434238;0.0323590814196;0.0730688935282;0.0960334029228;0.0704592901879;22;22;0
AT-Humboldt;5;2;1;0;8;0.025316455;0.10238908;0.29441626;0.18656715;0.30385164;0.5784852;0.4280822;0.026666667;0.071661243;0.12537314;0.19762846;0.032;2;2;0;1;0;1;2;0;0;0;0;1;14;98;35;0.0030534351145;0.0229007633588;0.0885496183206;0.0381679389313;0.162595419847;0.402290076336;0.190839694656;0.00152671755725;0.0167938931298;0.0320610687023;0.0381679389313;0.0030534351145;9;9;0

CZU;5;4;0;0;9;0.32550335;0.52409637;0.35234898;0.0;0.14705883;0.37712894;0.38477367;0.2137931;0.44931507;0.38274338;0.3436426;0.44827587;3;2;1;1;0;2;6;0;0;0;0;2;16;112;54;0.0571933962264;0.153891509434;0.0619103773585;0.0;0.0176886792453;0.182783018868;0.110259433962;0.0182783018868;0.0966981132075;0.204009433962;0.0589622641509;0.0383254716981;13;13;0
Incredibles;5;6;0;0;11;0.15862068;0.40206184;0.28097347;0.1890411;0.2413793;0.28806585;0.39659367;0.48039215;0.20512821;0.3657718;0.21084337;0.31208054;3;3;0;1;0;2;8;2;0;0;2;0;10;81;37;0.0167029774873;0.0849673202614;0.184458968773;0.0501089324619;0.0254175744372;0.101670297749;0.236746550472;0.0711692084241;0.00580973129993;0.0791575889615;0.0762527233115;0.0675381263617;16;16;0

CZU;7;9;0;0;16;0.32173912;0.6004184;0.7360704;0.55069126;0.064285717;0.22586874;0.38651993;0.3892405;0.40298508;0.58333332;0.5314685;0.35585587;4;4;0;2;0;2;8;2;0;0;2;3;16;90;30;0.0832395950506;0.161417322835;0.141169853768;0.134420697413;0.0101237345332;0.0658042744657;0.158042744657;0.0691788526434;0.0303712035996;0.0590551181102;0.0427446569179;0.0444319460067;19;19;0
Oxsy;8;12;0;0;20;0.25225225;0.23076923;0.2611111;0.34328358;0.34810127;0.48005505;0.55019306;0.4;0.23502304;0.18768328;0.23640167;0.2652174;5;4;1;2;0;3;7;3;0;0;3;2;13;87;20;0.038915913829;0.0229325920778;0.0326615705351;0.0319666435024;0.0764419735928;0.242529534399;0.198054204309;0.0778318276581;0.0708825573315;0.0444753300903;0.0785267546908;0.0847810979847;16;16;0

CZU;3;3;0;0;6;0.43333332;0.46009388;0.4621027;0.45833336;0.17080746;0.20108696;0.2801014;0.39622643;0.15079366;0.4468085;0.2966805;0.29166666;2;1;1;1;0;1;6;1;0;0;1;1;12;99;80;0.0450138504155;0.135734072022;0.130886426593;0.053324099723;0.0380886426593;0.12811634349;0.153047091413;0.0436288088643;0.0131578947368;0.101800554017;0.0990304709141;0.0581717451524;21;21;0
ZJUBase;5;3;0;0;8;0.27777779;0.3360996;0.27051672;0.33333336;0.21383648;0.39543728;0.47608696;0.4906832;0.2202381;0.16870415;0.23474178;0.30666668;2;2;0;0;0;2;10;1;0;1;0;1;12;86;29;0.0510529674537;0.103382259094;0.0567964262923;0.0268028079132;0.0216975111678;0.19910657307;0.279514996809;0.100829610721;0.0236119974474;0.0440331844288;0.0638162093172;0.0293554562859;7;7;0

DAINAMITE;5;11;0;0;16;0.042105265;0.36324787;0.4353448;0.49373432;0.26865673;0.33536587;0.29773462;0.39308853;0.19557196;0.3275;0.410219;0.70259735;1;0;1;0;0;1;20;1;0;0;1;0;18;103;56;0.00196656833825;0.0417895771878;0.148967551622;0.0968534906588;0.00884955752212;0.0270403146509;0.0904621435595;0.0894788593904;0.0260570304818;0.0644051130777;0.138151425762;0.265978367748;10;10;0
